Manuel Cavazos Lerma ; 57270181da509c1c7e1d7e1d ; senadores pri
Gabriela Cuevas Barron ; 57270181da509c1c7e1d7e22 ; senadores pan
Pablo Escudero Morales ; 57270181da509c1c7e1d7e1e ; senadores pvem
Anabel Acosta Islas ; 57270181da509c1c7e1d7e23 ; senadores pri
María Elena Barrera Tapia ; 57270181da509c1c7e1d7e1f ; senadores pvem
Jesús Casillas Romero ; 57270181da509c1c7e1d7e24 ; senadores pri
Miguel Ángel Chico Herrera ; 57270181da509c1c7e1d7e20 ; senadores pri
Hilda Esthela Flores Escalera ; 57270181da509c1c7e1d7e21 ; senadores pri
Daniel Amador Gaxiola ; 57270181da509c1c7e1d7e2c ; senadores pri
Francisco de Paula Búrquez Valenzuela ; 57270181da509c1c7e1d7e28 ; senadores pan
Enrique Burgos García ; 57270181da509c1c7e1d7e25 ; senadores pri
Erika Ayala Ríos ; 57270181da509c1c7e1d7e2a ; senadores pri
María Cristina Díaz Salazar ; 57270181da509c1c7e1d7e26 ; senadores pri
Luis Humberto Fernández Fuentes ; 5727017cda509c1c7e1d7e18 ; senadores prd
Félix Benjamín Hernández Ruiz ; 57270181da509c1c7e1d7e2d ; senadores prd
María del Carmen Izaguirre Francos ; 57270181da509c1c7e1d7e35 ; senadores pri
Humberto Domingo Mayans Canabal ; 5727014fcd4f08e77d42d9e6 ; senadores pri
Tereso Medina Ramírez ; 57270144cd4f08e77d42d9ba ; senadores pri
Carlos Manuel Merino Campos ; 57270143cd4f08e77d42d9b9 ; senadores pt
María de los Dolores Padierna Luna ; 57270150cd4f08e77d42d9e8 ; senadores prd
Yerico Abramo Masso ; 572704210a5c133480a53aea ; diputados PRI
Patricia Elena Aceves Pastrana ; 572704210a5c133480a53aeb ; diputados MORENA
Marco Antonio Aguilar Yunes ; 572704230a5c133480a53aee ; diputados PRI
María Guadalupe Alcántara Rojas ; 572704250a5c133480a53af3 ; diputados PRI
Hugo Alejo Domínguez ; 572704260a5c133480a53af4 ; diputados PAN
Hortensia Aragón Castillo ; 572704340a5c133480a53b08 ; diputados PRD
Mariana Arámbula Meléndez ; 572704350a5c133480a53b09 ; diputados PAN
Luis Ignacio Avendaño Bermúdez ; 572704390a5c133480a53b11 ; diputados PVEM
María Ávila Serna ; 5727043f0a5c133480a53b12 ; diputados PVEM
Héctor Adrián Menchaca Medrano ; 57270144cd4f08e77d42d9bb ; senadores pt
David Aguilar Robles ; 572704220a5c133480a53aed ; diputados PRI
Emma Margarita Alemán Olvera ; 572704260a5c133480a53af5 ; diputados PAN
María Verónica Agundis Estrada ; 572704240a5c133480a53af1 ; diputados PAN
Antonio Amaro Cancino ; 572704310a5c133480a53b02 ; diputados PRI
Tania Victoria Arguijo Herrera ; 572704370a5c133480a53b0d ; diputados PRD
Erika Lorena Arroyo Bello ; 572704380a5c133480a53b0f ; diputados PRI
Elio Bocanegra Ruiz ; 5727044c0a5c133480a53b27 ; diputados PRD
Juana Aurora Cavazos Cavazos ; 572704630a5c133480a53b48 ; diputados PRI
Sofia del Sagrario De León Maza ; 572704900a5c133480a53b6e ; diputados PRI
Tristán Manuel Canales Najjar ; 5727045a0a5c133480a53b37 ; diputados PRI
Gabriel Casillas Zanatta ; 5727045f0a5c133480a53b40 ; diputados PRI
Rosa Guadalupe Chávez Acosta ; 5727047a0a5c133480a53b4f ; diputados PRI
Susana Corella Platt ; 5727047f0a5c133480a53b58 ; diputados PRI
Germán Escobar Manjarrez ; 572704c10a5c133480a53b7c ; diputados PRI
Hйctor Ulises Cristopulos Rнos ; 5727048b0a5c133480a53b64 ; diputados PRI
Jorge Álvarez López ; 5727042f0a5c133480a53afd ; diputados PVEM
Montserrat Alicia Arcos Velбzquez ; 572704360a5c133480a53b0a ; diputados PRI
Efraнn Arellano Nъсez ; 572704360a5c133480a53b0b ; diputados PRI
Marco Polo Aguirre Chávez ; 572704230a5c133480a53aef ; diputados PRI
Telésforo García Carreón ; 572704da0a5c133480a53b9b ; diputados PRI
Ángel II Alanís Pedraza ; 572704250a5c133480a53af2 ; diputados PRD
Alejandro González Murillo ; 572704e70a5c133480a53baf ; diputados PES
Juan Alejandro Fernández Sánchez Navarro ; 57270181da509c1c7e1d7e32 ; senadores pan
Sara Latife Ruiz Chávez ; 5727063cd1d9ecd3815bdfb9 ; diputados PRI
Brenda Borunda Espinoza ; 5727044f0a5c133480a53b2b ; diputados PRI
Francisco Javier Santillán Oceguera ; 5727064fd1d9ecd3815bdfd2 ; diputados PRI
Julián Nazar Morales ; 572705540a5c133480a53c29 ; diputados PRI
Dora Elena Real Salinas ; 572705720a5c133480a53c5f ; diputados PRI
Raъl Cervantes Andrade ; 57270181da509c1c7e1d7e2b ; senadores pri
Roberto Armando Albores Gleason ; 57270182da509c1c7e1d7e39 ; senadores pri
Fidel Demédicis Hidalgo ; 57270183da509c1c7e1d7e3d ; senadores prd
Manuel Bartlett Díaz ; 57270181da509c1c7e1d7e29 ; senadores pt
Angélica del Rosario Araujo Lara ; 57270181da509c1c7e1d7e2e ; senadores pri
Rosa Adriana Díaz Lizama ; 57270181da509c1c7e1d7e2f ; senadores pan
Manuel Humberto Cota Jiménez ; 57270181da509c1c7e1d7e34 ; senadores pri
Mario Delgado Carrillo ; 57270181da509c1c7e1d7e30 ; senadores prd
Miguel Barbosa Huerta ; 57270182da509c1c7e1d7e38 ; senadores prd
Ernesto Javier Cordero Arroyo ; 57270182da509c1c7e1d7e3b ; senadores pan
Margarita Flores Sánchez ; 57270182da509c1c7e1d7e37 ; senadores pri
Angélica De la Peña Gómez ; 57270182da509c1c7e1d7e3c ; senadores prd
René Juárez Cisneros ; 57270185da509c1c7e1d7e3e ; senadores pri
Aarón Irízar López ; 57270185da509c1c7e1d7e3f ; senadores pri
Ismael Hernández Deras ; 57270185da509c1c7e1d7e41 ; senadores pri
Ana Lilia Herrera Anzaldo ; 57270185da509c1c7e1d7e43 ; senadores pri
Daniel Gabriel Ávila Ruiz ; 57270181da509c1c7e1d7e33 ; senadores pan
Ricardo Barroso Agramont ; 57270182da509c1c7e1d7e3a ; senadores pri
